"","origin_country_iso_code","destination_country_iso_code","imported_cases_mid","imported_cases_low","imported_cases_high","country","incidence_mid","incidence_low","incidence_high"
"1","GBR","ARE",2064.87159890594,1924.69645196881,2268.22473061953,"United Arab Emirates",3285.0017219475,3091.45465414795,3653.95011685076
"2","GBR","AUT",310.193715530713,289.136014085,340.742280160333,"Austria",3654.28715644422,1728.48387096774,5811.1158997019
"3","GBR","BEL",1180.588021796,1100.44303868172,1296.85494687888,"Belgium",2260.12883215303,2053.45161290323,64384.0694048304
"4","GBR","BGR",23.148784741098,21.5773144839553,25.4285283701741,"Bulgaria",1639.33096021706,1477.86286263205,1840.10689241497
"5","GBR","BHR",231.48784741098,215.773144839553,254.285283701741,"Bahrain",342.266221614095,334.903225807745,381.462974402043
"6","GBR","BLR",60.1868403268547,56.1010176582837,66.1141737624527,"Belarus",1908.94066289933,1813.10912324331,1997.94598966533
"7","GBR","BMU",60.1868403268547,56.1010176582837,66.1141737624527,NA,NA,NA,NA
"8","GBR","BRA",4.62975694821959,4.31546289679105,5.08570567403482,"Brazil",56461.8553301291,52346.2595364435,112967.252278839
"9","GBR","BRB",27.7785416893176,25.8927773807463,30.5142340442089,"Barbados",40.2529454212543,38.1849133544989,44.268202073291
"10","GBR","BRN",4.62975694821959,4.31546289679105,5.08570567403482,"Brunei",0.994667370745884,0.841955860622585,1.19646149023956
"11","GBR","CAN",509.273264304155,474.700918647016,559.427624143831,NA,NA,NA,NA
"12","GBR","CHE",1342.62951498368,1251.4842400694,1474.8546454701,"Switzerland",2748.74336609712,2226.58064516129,9768.67656945141
"13","GBR","CHN",55.5570833786351,51.7855547614926,61.0284680884179,NA,NA,NA,NA
"14","GBR","CRI",4.62975694821959,4.31546289679105,5.08570567403482,"Costa Rica",1146.25124345971,1053.20719712269,1302.10941260913
"15","GBR","CYP",282.415173841395,263.243236704254,310.228046116124,"Cyprus",299.445793152955,285.709677419355,333.474588916355
"16","GBR","CZE",185.190277928784,172.618515871642,203.428226961393,"Czechia",17862.1764087253,16127.8048383724,20073.8648913549
"17","GBR","DEU",4639.01646211603,4324.09382258463,5095.87708538289,"Germany",221701.593877316,161997.272087336,242618.704785006
"18","GBR","DNK",458.34593787374,427.230826782314,503.484861729448,"Denmark",1152.38032570513,1130.32265346529,1284.59406867845
"19","GBR","DZA",4.62975694821959,4.31546289679105,5.08570567403482,"Algeria",266.040172441959,257.880713366883,563.35658977126
"20","GBR","ESP",2282.47017547226,2127.52320811799,2507.25289729917,"Spain",33432.3616980936,28043.0063545362,50729.3166852458
"21","GBR","EST",83.3356250679527,77.6783321422389,91.5427021326268,"Estonia",582.786343326808,569.538420574241,598.117122449472
"22","GBR","FIN",254.636632152078,237.350459323508,279.713812071915,"Finland",435.675717272392,416.298648018381,463.032427711521
"23","GBR","FRA",2314.8784741098,2157.73144839553,2542.85283701741,"France",36882.1200565312,21870.456166525,72085.0861632059
"24","GBR","GGY",328.712743323591,306.397865672165,361.085102856472,NA,NA,NA,NA
"25","GBR","GIB",37.0380555857567,34.5237031743284,40.6856453922786,NA,NA,NA,NA
"26","GBR","GRC",92.5951389643919,86.309257935821,101.714113480696,"Greece",1955.88361497024,1744.47885964694,2515.76728024231
"27","GBR","HKG",208.339062669882,194.195830355597,228.856755331567,NA,NA,NA,NA
"28","GBR","HRV",37.0380555857567,34.5237031743284,40.6856453922786,"Croatia",1105.23909772527,980.663385238075,1272.67366613922
"29","GBR","HUN",282.415173841395,263.243236704254,310.228046116124,"Hungary",3201.65736598386,1453.93548387097,4430.81135197282
"30","GBR","IMN",185.190277928784,172.618515871642,203.428226961393,NA,NA,NA,NA
"31","GBR","IND",583.349375475669,543.748324995672,640.798914928388,"India",17840.6722734555,16090.2597737595,23369.0425422982
"32","GBR","IRL",2453.77118255639,2287.19533529926,2695.42400723846,"Ireland",3514.90900758302,3464.74241968108,3542.16154973913
"33","GBR","ISL",162.041493187686,151.041201387687,177.999698591219,"Iceland",8.65901651963664,8.00144127564952,9.6889956313386
"34","GBR","ISR",259.266389100297,241.665922220299,284.79951774595,"Israel",8217.61729755311,7933.4936203341,9071.09245688478
"35","GBR","ITA",1708.38031389303,1592.4058089159,1876.62539371885,"Italy",16378.6157637686,16306.8634313782,16370.5084233727
"36","GBR","JEY",495.383993459497,461.754529956643,544.170507121726,NA,NA,NA,NA
"37","GBR","JPN",347.23177111647,323.659717259329,381.427925552612,"Japan",5141.48705313541,5079.67318427663,5156.38312921587
"38","GBR","KAZ",4.62975694821959,4.31546289679105,5.08570567403482,"Kazakhstan",1866.55192283816,1735.53906919842,2532.03126481293
"39","GBR","KOR",92.5951389643919,86.309257935821,101.714113480696,"South Korea",719.422401862176,632.603707630302,823.906184976623
"40","GBR","LBN",125.003437601929,116.517498213358,137.31405319894,"Lebanon",5530.00244153186,4809.81689851923,6822.23535742074
"41","GBR","LTU",444.456667029081,414.284438091941,488.227744707343,"Lithuania",1643.7810379076,1505.93005709831,1835.17423421533
"42","GBR","LUX",189.820034877003,176.933978768433,208.513932635428,"Luxembourg",128.268977142508,128.161290322581,128.272389490279
"43","GBR","LVA",328.712743323591,306.397865672165,361.085102856472,"Latvia",1288.94625329358,1162.37733838892,1472.50730450671
"44","GBR","MEX",87.9653820161723,81.99379503903,96.6284078066616,"Mexico",25056.3766153031,14134.3892443653,41887.6998344746
"45","GBR","MLT",180.560520980564,168.303052974851,198.342521287358,"Malta",259.396048003331,240.799826804187,282.944723096271
