"","origin_country_iso_code","destination_country_iso_code","imported_cases_mid","imported_cases_low","imported_cases_high","country","incidence_mid","incidence_low","incidence_high"
"1","GBR","ARE",93.0850769537873,86.7659361672296,102.252301649203,"United Arab Emirates",2430.78124970838,2255.49531784829,2742.45513367493
"2","GBR","AUT",32.3289488821537,30.1342772317324,35.5127754230766,"Austria",5543.40835273747,2799.64516129032,8713.88772648196
"3","GBR","BEL",127.643608517469,118.978439414944,140.214233998009,"Belgium",3934.18297680695,3578.77419354839,97949.133401236
"4","GBR","BGD",0.55739567038196,0.519556503995387,0.612289231432354,"Bangladesh",2422.54136181094,2099.32258064516,2652.89551953173
"5","GBR","BGR",2.7869783519098,2.59778251997693,3.06144615716177,"Bulgaria",9653.50753607603,8702.70487143483,10834.8760929995
"6","GBR","BHR",34.5585315636815,32.212503247714,37.961932348806,"Bahrain",732.250446542721,711.322580645161,833.64138165409
"7","GBR","BLR",7.80353938534744,7.27379105593542,8.57204924005296,"Belarus",1171.88349254117,1113.12358033737,1230.64337603318
"8","GBR","BMU",5.01656103343764,4.67600853595848,5.51060308289119,NA,NA,NA,NA
"9","GBR","BRB",9.47572639649332,8.83246056792158,10.40891693435,"Barbados",18.9461813516764,18.8387097562061,19.5798930853973
"10","GBR","CAN",75.2484155015646,70.1401280393772,82.6590462433679,NA,NA,NA,NA
"11","GBR","CHE",154.398600695803,143.917151606722,169.604117106762,"Switzerland",1829.25970189593,1490.06451612903,6072.79494342156
"12","GBR","CHN",8.91833072611136,8.31290406392619,9.79662770291767,NA,NA,NA,NA
"13","GBR","CPV",0.55739567038196,0.519556503995387,0.612289231432354,"Cape Verde",66.9048739089443,66.7741935483871,68.2759977998398
"14","GBR","CYP",20.0662441337506,18.7040341438339,22.0424123315648,"Cyprus",363.380002294979,359.903225806452,377.778444330671
"15","GBR","CZE",18.9514527929866,17.6649211358432,20.8178338687001,"Czechia",19912.1441507597,17988.8345034909,22456.0056877058
"16","GBR","DEU",614.807424431302,573.070823906912,675.355022269887,"Germany",196139.731548613,143325.951242802,214602.993083232
"17","GBR","DNK",41.247279608265,38.4471812956586,45.3094031259942,"Denmark",639.426020620235,626.193548387097,721.421363632704
"18","GBR","ESP",165.546514103442,154.30828168663,181.849901735409,"Spain",3691.31701337515,3090.26682722355,5636.69226421781
"19","GBR","EST",6.68874804458352,6.23467804794464,7.34747077718825,"Estonia",1345.63200502625,1327.60928019471,1377.65266378383
"20","GBR","FIN",39.0176969267372,36.3689552796771,42.8602462002648,"Finland",702.901638609185,675.388799420937,744.966733180795
"21","GBR","FRA",297.091892313585,276.923616629541,326.350160353445,"France",49119.7767831587,29155.9187285283,95496.2055516134
"22","GBR","GGY",42.9194666194109,40.0058508076448,47.1462708202913,NA,NA,NA,NA
"23","GBR","GIB",0.55739567038196,0.519556503995387,0.612289231432354,NA,NA,NA,NA
"24","GBR","GRC",19.5088484633686,18.1844776398385,21.4301231001324,"Greece",6923.94826987175,6173.51070453254,8860.12687652781
"25","GBR","HKG",41.247279608265,38.4471812956586,45.3094031259942,NA,NA,NA,NA
"26","GBR","HRV",6.13135237420156,5.71512154394926,6.7351815457559,"Croatia",1518.02238334883,1347.22532781794,1747.32226880335
"27","GBR","HUN",28.42717918948,26.4973817037647,31.2267508030501,"Hungary",16475.4538646598,7220.45161290323,22875.6726002132
"28","GBR","IMN",24.5254094968062,22.860486175797,26.9407261830236,NA,NA,NA,NA
"29","GBR","IND",94.7572639649332,88.3246056792158,104.0891693435,"India",38691.5102140802,36327.4151190851,50016.4143811334
"30","GBR","IRL",225.745246504694,210.420384118132,247.977138730104,"Ireland",524.792998082089,524.58064516129,524.580645161301
"31","GBR","ISR",42.362070949029,39.4862943036494,46.5339815888589,"Israel",1947.85184022737,1873.1587528489,2201.5448933445
"32","GBR","ITA",181.710988544519,169.375420302496,199.606289446948,"Italy",21529.7414956877,21400.9782144014,21559.3580408663
"33","GBR","JEY",82.4945592165301,76.8943625913172,90.6188062519885,NA,NA,NA,NA
"34","GBR","JPN",47.9360276528486,44.6818593436033,52.6568739031825,"Japan",1645.51864255447,1622.43426094949,1653.51874208485
"35","GBR","KAZ",1.67218701114588,1.55866951198616,1.83686769429706,"Kazakhstan",1558.61514428535,1444.71868501098,2145.84482575824
"36","GBR","KEN",22.8532224856604,21.3018166638109,25.1038584887265,"Kenya",956.597724397405,906.093535878873,1743.35740497307
"37","GBR","KOR",19.5088484633686,18.1844776398385,21.4301231001324,"South Korea",536.963913042589,470.223655295232,614.002815017787
"38","GBR","KWT",0.55739567038196,0.519556503995387,0.612289231432354,"Kuwait",1370.47801309232,1330.71674774064,1666.31540919243
"39","GBR","LBN",10.0331220668753,9.35201707191696,11.0212061657824,"Lebanon",5583.48919548514,4935.31193484764,6768.82238911149
"40","GBR","LCA",0.55739567038196,0.519556503995387,0.612289231432354,"Saint Lucia",29.0146222101929,27.3555233205694,32.4677089993688
"41","GBR","LTU",44.0342579601748,41.0449638156356,48.370849283156,"Lithuania",705.197779391325,646.328157522841,787.628369743323
"42","GBR","LUX",26.1975965079521,24.4191556877832,28.7775938773207,"Luxembourg",225.484340621217,210.709677419355,231.4552569127
"43","GBR","LVA",34.5585315636815,32.212503247714,37.961932348806,"Latvia",755.683780287742,681.732908315935,865.303244744612
"44","GBR","MAR",1.67218701114588,1.55866951198616,1.83686769429706,"Morocco",436.608912968905,401.387096774194,639.257442854664
"45","GBR","MEX",0.55739567038196,0.519556503995387,0.612289231432354,"Mexico",8666.05552431255,4901.58155955757,14392.8537745876
