"","iso_code","country","incidence_total_mid","incidence_total_low","incidence_total_high","prevalence_mid","prevalence_low","prevalence_high","imported_cases_mid","imported_cases_low","imported_cases_high"
"1","AFG","Afghanistan",122.799496208422,102.710506830084,152.344653758341,0.000268919275111074,0.000224839770081292,0.000334038464264145,NA,NA,NA
"2","ALB","Albania",1130.67845370363,952.128559846101,1383.5035442072,0.0120234289965229,0.0101477952749791,0.0146797593630021,NA,NA,NA
"3","DZA","Algeria",195.81492535715,178.727127320426,448.959968605429,0.000190497032837444,0.000173802106867247,0.000446820195934467,19.3064441068593,11.9791189489508,41.7848149766963
"4","AND","Andorra",53.7778772963367,49.869754850202,60.1318562307431,0.0327582111421996,0.0303511708368174,0.0367646064038476,NA,NA,NA
"5","AGO","Angola",125.770870125033,105.945784947971,154.258053781643,0.000268821521196862,0.000225524278735932,0.000331030118646623,NA,NA,NA
"6","ATG","Antigua and Barbuda",39.9598745729583,33.2038234918981,49.7049177635375,0.0109347299236452,0.00888750142609857,0.0139046529212031,NA,NA,NA
"7","ARG","Argentina",11973.810177811,10554.9535604792,21697.076668457,0.0190717256575258,0.0168125558716123,0.0345885061620601,4.75858581456149,3.88574158415124,8.91509332252379
"8","ARM","Armenia",1291.35643086844,1084.54091393833,1591.59535093919,0.0222646863432506,0.0186952247590918,0.0273876026900005,NA,NA,NA
"9","AUT","Austria",8033.92514889488,3783.30427201395,13831.5678198126,0.0370286449505175,0.0178257478204398,0.0647299091845087,630.645273723672,440.174183719316,1010.27883017828
"10","AZE","Azerbaijan",1335.73018553423,1231.37701192046,1482.90641627734,0.00994001699888633,0.00912366519423829,0.0110609270230766,NA,NA,NA
"11","BHS","Bahamas",41.9315606472268,35.2899334946577,51.4499181217542,0.0064037201334371,0.00537459740679939,0.00788296016963344,13.5459206390353,11.709171879658,24.4964890459798
"12","BHR","Bahrain",1061.23253122133,961.246730601569,1323.24028833983,0.0335066530127674,0.0304595848511852,0.0421682798511378,88.8652486501549,67.4548904396144,124.542324150127
"13","BGD","Bangladesh",3510.92950987093,2836.92240627725,4210.94526909798,0.0017289378843961,0.00139535327073308,0.00207224967210456,37.293769587821,31.061535876214,58.7244000554559
"14","BRB","Barbados",27.4582338430093,25.4577158867651,31.0791953736464,0.00283053612919087,0.00261714792030036,0.0032535525884577,7.9824348763796,6.94300309383494,13.6660767800566
"15","BLR","Belarus",1698.38187324807,1504.22105450995,1953.40218417965,0.00817439304104384,0.00722080263731671,0.00939665664988129,111.876120477943,86.3131483862429,217.224606043197
"16","BEL","Belgium",5701.7144591405,4836.18134263296,155474.814922597,0.0221848260677326,0.0188162944184397,0.604710070714709,507.872726129891,360.318750634488,789.63675675396
"17","BLZ","Belize",14.4840082724016,12.2369437805893,17.6753131938848,0.00147500604671353,0.00124045251613078,0.00180794732177528,1.51807731299533,1.31223477961685,2.74529618618739
"18","BEN","Benin",81.096911440924,72.6328683167143,97.1615287018464,0.000189429665571338,0.000171342744776659,0.000223713819931978,NA,NA,NA
"19","BTN","Bhutan",0.286606892037728,0.261551874464917,0.343115389958678,0.000180044777116158,0.000163665110694425,0.000220348084806549,NA,NA,NA
"20","BOL","Bolivia",3292.97908390237,2808.61588848801,4098.65000627923,0.0134647836709817,0.011497124075249,0.0167623848256286,NA,NA,NA
"21","BIH","Bosnia and Herzegovina",5533.20118403098,4669.53591761395,6786.50012441228,0.0743170723702667,0.062713326655921,0.0911321729678092,4.47410878103089,3.57985455374108,6.13835921651117
"22","BWA","Botswana",2331.11407119996,1830.77534738202,2946.36580694937,0.0370228877861321,0.0267939297392512,0.0475869738964077,NA,NA,NA
"23","BRA","Brazil",121660.57787197,105213.247407693,265828.953022688,0.0248960693937655,0.0215817090353204,0.0543544418546036,128.170067454662,95.6771090082283,211.03460320528
"24","BRN","Brunei",1.41209628694315,1.1482188192818,1.85356448315419,0.000110258849003759,0.0000897126456576909,0.000148943108175224,0.516236846547653,0.466492877489379,0.623127832700111
"25","BGR","Bulgaria",13990.5906319942,11760.4119884254,17198.2160206341,0.0793342437679427,0.066686052679319,0.097518549099999,16.9782419370902,12.029056616871,27.983720819637
"26","BFA","Burkina Faso",34.4700783381924,32.0401308219595,38.3847288060627,0.0000681084962427945,0.0000632213971742035,0.000076785876678095,NA,NA,NA
"27","BDI","Burundi",28.5222109468287,26.1987794249473,34.2102608096946,0.000145812245338596,0.000132336409248646,0.00018918033514426,NA,NA,NA
"28","KHM","Cambodia",90.6056956859809,82.1750321754773,111.299243887488,0.000554122941821975,0.00047888684088115,0.000851931640222747,NA,NA,NA
"29","CMR","Cameroon",669.872768472464,574.40230450322,814.307509740697,0.00186244891695094,0.00159863090127508,0.00226261734724851,NA,NA,NA
"30","CPV","Cape Verde",96.9635853752815,90.2353966870096,108.374599682285,0.0128184004375959,0.0118692701144585,0.0150044437058376,3.24258079892606,2.34419624262689,4.06439868313134
"31","CAF","Central African Republic",7.71878120722582,6.84394071490846,9.119314510681,0.000248064592237857,0.000213150824316732,0.000303938158635928,NA,NA,NA
"32","TCD","Chad",69.027868010404,57.9317729636408,85.0307681458655,0.000131253378274602,0.000109107368842572,0.000163045944791221,NA,NA,NA
"33","CHL","Chile",17434.1253829082,12729.6417984455,30550.1532441344,0.0442646615421045,0.0319826805557476,0.0776277659479507,NA,NA,NA
"34","COL","Colombia",7866.00243749938,6743.11364922795,19924.561082121,0.0120574027672886,0.0103357800664195,0.0305452666862668,54.8019470883876,44.9228798193763,99.7582732173752
