"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"ESP",21189.670094209,19751.1956047643,23276.4757706095,25148.6765683697,21095.5733712196,38158.8254317649,"october",FALSE
"EST",338.696025481862,315.703426249979,372.051560768984,86.1501822908114,82.7920899092645,89.5637945375479,"october",FALSE
"FIN",846.740063704655,789.258565624947,930.12890192246,480.855588970468,457.482035915375,511.397902209674,"october",FALSE
"FRA",8604.99589739855,8020.84017316352,9452.43496578703,73017.5783496411,43535.0649304902,143104.502531788,"october",FALSE
"GBR",NA,NA,NA,NA,NA,NA,"october",FALSE
"GGY",1227.77309237175,1144.42492015617,1348.68690778757,NA,NA,NA,"october",FALSE
"GIB",328.111774685554,305.837694179667,360.424949494953,NA,NA,NA,"october",FALSE
"GRC",6964.43702397078,6491.65170226519,7650.31021831223,1356.90335893404,1212.77943621849,1767.73004441147,"october",FALSE
"HKG",1301.86284794591,1213.48504464836,1430.07318670578,NA,NA,NA,"october",FALSE
"HRV",137.595260352006,128.254516914054,151.1459465624,1379.28482126929,1227.79510655433,1582.39540087971,"october",FALSE
"HUN",1407.70535590898,1312.14236535147,1546.33929944609,3271.07242343227,1576.28827037343,4510.35751440062,"october",FALSE
"IMN",656.223549371107,611.675388359334,720.849898989907,NA,NA,NA,"october",FALSE
"IND",2624.89419748443,2446.70155343734,2883.39959595962,75200.9455112874,61584.4713442648,100991.233301693,"october",FALSE
"IRL",9165.96118960287,8543.72397289005,10068.6453633107,1548.05220088764,1522.24836373502,1569.87531501379,"october",FALSE
"ISL",1100.76208281605,1026.03613531243,1209.16757249919,70.6079038460706,68.9499042611045,74.5607730528112,"october",FALSE
"ISR",1058.42507963081,986.573207031188,1162.66112740307,2548.02817362422,2448.13908629712,3027.94979376737,"october",FALSE
"ITA",17834.4625917793,16623.7585384755,19590.8399967418,25247.325085623,22749.4038503118,25936.7410971139,"october",FALSE
"JEY",3609.22952154109,3364.21463597634,3964.67444444449,NA,NA,NA,"october",FALSE
"JOR",74.0897555741573,69.0601244921829,81.3862789182153,3481.71805552859,2731.74889346951,3864.49594478665,"october",FALSE
"JPN",793.818809723113,739.929905273388,871.995845552306,646.122148138795,636.130247911876,649.914305251059,"october",FALSE
"KAZ",10.5842507963081,9.86573207031188,11.6266112740307,537.585549560183,500.40083193657,735.018484903039,"october",FALSE
"KOR",402.201530259711,374.89781867185,441.811228413169,107.765838419683,94.245820301396,122.885590163938,"october",FALSE
"KWT",63.5055047778491,59.194392421871,69.7596676441845,735.566752373575,708.546707390014,897.332938975195,"october",FALSE
"LBN",232.85351751878,217.046105546861,255.785448028677,1752.01135915503,1494.35555311932,2070.18068645243,"october",FALSE
"LCA",63.5055047778491,59.194392421871,69.7596676441845,NA,NA,NA,"october",FALSE
"LTU",1778.15413377978,1657.44298781239,1953.27069403716,397.020104027803,361.942139804643,444.428499231573,"october",FALSE
"LUX",751.481806537881,700.46697699214,825.489400456184,297.848014112276,290.58152826195,305.910281800218,"october",FALSE
"LVA",1206.60459077914,1124.69345601555,1325.43368523951,178.099554266885,160.596329496719,202.933369425384,"october",FALSE
"MAR",222.269266722472,207.180373476548,244.158836754646,3852.06543574192,3520.10149233575,5585.39177715963,"october",FALSE
"MEX",137.595260352006,128.254516914054,151.1459465624,11003.2507932894,5862.77571291583,20044.8349646413,"october",FALSE
"MLT",1704.06437820562,1588.38286332021,1871.88441511895,114.569888821502,106.290199058375,126.097155874594,"october",FALSE
"MNE",10.5842507963081,9.86573207031188,11.6266112740307,355.066653272305,330.156169630901,385.019330094539,"october",FALSE
"MYS",232.85351751878,217.046105546861,255.785448028677,1811.74107592927,1616.23548969079,1901.89407559371,"october",FALSE
"NLD",9430.56745951061,8790.36727464785,10359.3106451614,18118.4459480479,17978.2435177748,18259.2684413662,"october",FALSE
"NOR",1809.9068861687,1687.04018402333,1988.15052785926,444.618459830681,414.258212397387,485.196444510652,"october",FALSE
"PHL",52.9212539815409,49.3286603515592,58.1330563701538,2519.54867742225,2226.99402285569,3325.58862663478,"october",FALSE
"POL",10446.6555359562,9737.47755339783,11475.4653274683,20469.55122971,17596.1169309376,25237.5162849689,"october",FALSE
"PRT",10954.699574179,10211.0326927728,12033.5426686219,6229.31166958176,5440.11532646053,7353.78271617164,"october",FALSE
"QAT",2720.15245465121,2535.49314207014,2988.03909742591,374.166253769856,312.007239730698,536.484846573446,"october",FALSE
"ROU",3683.31927711525,3433.27476046852,4046.0607233627,8925.51436488675,5067.97639163155,12270.1458181111,"october",FALSE
"RUS",1862.82814015024,1736.36884437489,2046.28358422941,21054.8461367109,19174.2849516297,25545.8636622909,"october",FALSE
"SAU",243.437768315088,226.911837617172,267.412059302707,732.61177533703,607.227946594311,907.312799169627,"october",FALSE
"SGP",719.729054148957,670.869780781205,790.609566634091,8.07726443552235,8.06451612903238,8.18868845367875,"october",FALSE
"SRB",137.595260352006,128.254516914054,151.1459465624,819.488906224623,776.221769743981,876.833522234992,"october",FALSE
"SVK",762.06605733419,710.332709062452,837.116011730214,2174.27277376985,1853.89092227161,2759.26090488035,"october",FALSE
"SVN",95.2582571667738,88.7915886328066,104.639501466277,3159.54721252073,2076.09389862921,3856.90442290915,"october",FALSE
"SWE",2825.99496261428,2634.15046277326,3104.30521016621,3956.74190514407,3783.5235326789,4166.89833799889,"october",FALSE
"TUN",10.5842507963081,9.86573207031188,11.6266112740307,2908.41084900323,2632.32265792073,3258.6452759578,"october",FALSE
"TUR",6234.12371902553,5810.91618941368,6848.07404040411,6628.51974351129,4898.64520376758,41087.9128288598,"october",FALSE
"TWN",370.448777870787,345.300622460914,406.931394591076,1.58404661886546,1.42476474501143,1.78196875740329,"october",FALSE
"UKR",762.06605733419,710.332709062452,837.116011730214,7798.67315179221,7114.36602909808,12196.9180616157,"october",FALSE
"USA",12701.1009555698,11838.8784843742,13951.9335288369,99435.5282525926,79388.7258733958,159220.68515731,"october",FALSE
"VCT",10.5842507963081,9.86573207031188,11.6266112740307,NA,NA,NA,"october",FALSE
"ZAF",920.829819278814,858.31869011713,1011.51518084068,4941.95263098673,4344.66780335516,5720.02400138258,"october",FALSE
"ARE",422.930232270634,394.21933931046,464.581338941944,1669.89997423405,1535.59730279231,1886.97277871749,"october",TRUE
"AUT",149.206350978726,139.077381127294,163.900523129264,3255.87926476251,1945.30758841031,5338.03634286333,"october",TRUE
"AZE",1.07342698545846,1.00055669875752,1.17914045416737,558.058295892253,550.806941749685,565.969694220574,"october",TRUE
"BEL",302.706409899285,282.156989049619,332.517608075198,15306.3124102923,11134.4474019967,444648.490169148,"october",TRUE
"BGR",17.1748317673353,16.0089071801202,18.8662472666779,2724.68248918721,2455.90170774658,3058.25288476663,"october",TRUE
"BHR",41.8636524328799,39.021711251543,45.9864777125274,373.868815900495,357.516461669012,421.728688830309,"october",TRUE
"BLR",18.2482587527938,17.0094638788777,20.0453877208453,997.093433622209,946.408730498333,1047.55834968195,"october",TRUE
"BMU",19.3216857382523,18.0100205776352,21.2245281750126,NA,NA,NA,"october",TRUE
"BRA",52.5979222874646,49.0272782391181,57.7778822542011,31295.5710260897,29106.5964036764,62567.3874629965,"october",TRUE
"BRB",46.1573603747138,43.023938046573,50.7030395291969,3.91152828505056,3.50226803156072,4.39249596133202,"october",TRUE
"BRN",2.14685397091692,2.00111339751503,2.35828090833474,0.0994152395502119,0.0838657988715221,0.119299290482359,"october",TRUE
"CAN",203.951127237107,190.105772763928,224.0366862918,NA,NA,NA,"october",TRUE
"CHE",408.975681459673,381.212102226612,449.252513037768,4850.70097951742,3906.6059377361,17202.46930165,"october",TRUE
"CHN",22.5419666946277,21.0116906739077,24.7619495375148,NA,NA,NA,"october",TRUE
"CYP",502.363829194559,468.260535018516,551.837732550329,113.821532942881,102.138070154589,126.846698508417,"october",TRUE
"CZE",142.765789065975,133.074040934749,156.82568040426,15059.6379581314,13584.3246653233,17021.9187263472,"october",TRUE
"DEU",2526.84712376922,2355.31046887519,2775.69662910999,100178.240899052,73182.5380234702,109577.941124359,"october",TRUE
"DNK",335.982646448498,313.174246711102,369.070962154387,1031.08880959279,982.581527491318,1168.45003027709,"october",TRUE
"EGY",11.8076968400431,11.0061236863327,12.970544995841,510.194399803367,140.553059517113,618.773708927016,"october",TRUE
"ESP",2149.00082488784,2003.11451091254,2360.63918924307,25148.6765683697,21095.5733712196,38158.8254317649,"october",TRUE
"EST",34.3496635346708,32.0178143602404,37.7324945333558,86.1501822908114,82.7920899092645,89.5637945375479,"october",TRUE
