"","origin_country_iso_code","destination_country_iso_code","imported_cases_mid","imported_cases_low","imported_cases_high","country","incidence_mid","incidence_low","incidence_high"
"1","GBR","ARE",46.6282340018788,43.4770295413374,51.0682664725737,"United Arab Emirates",1962.19584930961,1959.7333354814,1980.179482998
"2","GBR","AUT",30.4240959444883,28.3679909064046,33.3211384076367,"Austria",2441.21324789889,2421.36666666667,2905.18175745687
"3","GBR","BEL",81.0206902869524,75.5451931746643,88.7356403246848,"Belgium",5611.18689920474,3592.5333374117,6986.6881362763
"4","GBR","BGD",0.661393390097571,0.616695454487056,0.72437257407906,"Bangladesh",5742.17602178403,5457.9285741326,6094.46358099003
"5","GBR","BGR",2.97627025543907,2.77512954519175,3.25967658335577,"Bulgaria",6213.75091600499,5584.9477738,6994.67215162819
"6","GBR","BHR",16.5348347524393,15.4173863621764,18.1093143519765,"Bahrain",1178.18594546371,1084.9286057741,1338.5053467262
"7","GBR","BLR",4.62975373068299,4.31686818140939,5.07060801855342,"Belarus",1775.07123239142,1539.89085998601,2039.12540385149
"8","GBR","BMU",1.98418017029271,1.85008636346117,2.17311772223718,NA,NA,NA,NA
"9","GBR","BRB",3.63766364553664,3.39182499967881,3.98404915743483,"Barbados",7.32008976398098,6.76670260673672,9.4074431486607
"10","GBR","BRN",0.330696695048785,0.308347727243528,0.36218628703953,NA,NA,NA,NA
"11","GBR","CAN",44.3133571365372,41.3185954506327,48.532962463297,"Canada",8023.16944671488,7986.61988132849,8157.49970260891
"12","GBR","CHE",107.145729195806,99.9046636269031,117.348357000808,"Switzerland",2012.50199624005,1965.21708335418,2111.1780854296
"13","GBR","CHN",5.95254051087814,5.5502590903835,6.51935316671154,"China",15.9122193520533,15.1666666666667,48.8784665454787
"14","GBR","CYP",18.519014922732,17.2674727256376,20.2824320742137,"Cyprus",650.222445990872,645.633333453137,669.649453244644
"15","GBR","CZE",12.2357777168051,11.4088659080105,13.4008926204626,"Czechia",5390.77686576754,4833.54921702535,6063.55958071704
"16","GBR","DEU",406.756934910006,379.267704509539,445.489133058622,"Germany",42135.1773873147,30902.1265947403,49386.7109714513
"17","GBR","DNK",23.4794653484638,21.8926886342905,25.7152263798066,"Denmark",665.312175884651,665.133334487651,666.770422760671
"18","GBR","EGY",0.992090085146356,0.925043181730584,1.08655886111859,"Egypt",3561.54923166386,3202.34866117282,3993.31118158476
"19","GBR","ESP",140.876792090783,131.356131805743,154.29135827884,"Spain",8205.92001474686,7990.8,9463.68804908187
"20","GBR","EST",3.96836034058542,3.70017272692234,4.34623544447436,"Estonia",522.761139847519,519.833333333333,543.94230825748
"21","GBR","FIN",23.8101620435125,22.201036361534,26.0774126668461,"Finland",312.858335555102,311.866666684969,320.096264930026
"22","GBR","FRA",186.182239312466,173.599770438106,203.910879603255,"France",208595.899662313,51352.1730942162,1772062.98152172
"23","GBR","GGY",34.7231529801225,32.3765113605704,38.0295601391506,NA,NA,NA,NA
"24","GBR","GIB",1.32278678019514,1.23339090897411,1.44874514815812,NA,NA,NA,NA
"25","GBR","GRC",12.8971711069026,12.0255613624976,14.1252651945417,"Greece",5403.73269881902,4899.46564241289,6053.42046414236
"26","GBR","HKG",28.7706124692443,26.8262522701869,31.5102069724391,NA,NA,NA,NA
"27","GBR","HRV",3.63766364553664,3.39182499967881,3.98404915743483,"Croatia",3255.7831817166,2925.08499964742,3665.61505655302
"28","GBR","HUN",27.1171289940004,25.2845136339693,29.6992755372414,"Hungary",12170.8670837084,10922.4517122867,13700.6394015404
"29","GBR","IMN",13.889261192049,12.9506045442282,15.2118240556602,NA,NA,NA,NA
"30","GBR","IND",52.2500778177081,48.7189409044774,57.2254333522457,"India",543367.925992178,231443.466666667,756653.130639424
"31","GBR","IRL",139.554005310587,130.122740896769,152.842613130682,"Ireland",537.547661324597,483.951306646246,607.083738130741
"32","GBR","IRQ",0.661393390097571,0.616695454487056,0.72437257407906,"Iraq",7187.62545116778,7142.5,7327.62069195868
"33","GBR","ISL",4.62975373068299,4.31686818140939,5.07060801855342,"Iceland",9.14373824842342,8.90003191594285,10.2481953016941
"34","GBR","ISR",26.125038908854,24.3594704522387,28.6127166761229,"Israel",210.076043339043,181.546003807059,265.230403698331
"35","GBR","ITA",152.45117641749,142.148302259266,166.967878325223,"Italy",25503.3137459683,18347.0682195619,29658.4291043667
"36","GBR","JEY",57.2105282434399,53.3441568131303,62.6582276578387,NA,NA,NA,NA
"37","GBR","JOR",0.992090085146356,0.925043181730584,1.08655886111859,"Jordan",4360.07451213648,4052.06904914803,4713.4670202605
"38","GBR","JPN",30.4240959444883,28.3679909064046,33.3211384076367,"Japan",3970.55252124778,3954.13594009891,4481.90561752441
"39","GBR","KAZ",0.661393390097571,0.616695454487056,0.72437257407906,"Kazakhstan",2710.69306121319,2602.23333333333,2923.42180917963
"40","GBR","KEN",1.65348347524393,1.54173863621764,1.81093143519765,"Kenya",1424.8284978637,1256.82596103567,1620.86669341741
"41","GBR","KOR",8.26741737621964,7.7086931810882,9.05465717598825,"South Korea",634.612964796381,633.16666781037,643.756716802816
"42","GBR","KWT",2.64557356039028,2.46678181794822,2.89749029631624,"Kuwait",1557.8396452474,1396.26674913335,1843.65279578778
"43","GBR","LBN",4.96045042573178,4.62521590865292,5.43279430559295,"Lebanon",3296.33358979961,3027.11165550713,3548.43138029254
"44","GBR","LCA",0.330696695048785,0.308347727243528,0.36218628703953,"Saint Lucia",13.140755834748,10.4871620477723,24.4630024811071
